id=1;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=cliente_emailm@m.com;data_evento=06/12/2019 10:00:19;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=2;status_evento=2;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=06/12/2019 12:13:59;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=3;status_evento=2;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=09/12/2019 10:49:28;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=4;status_evento=2;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=5;status_evento=2;cliente_nome=Cesar;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/01/1111 00:00:00;cliente_email=cesar@gmail.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=6;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=7;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=;forma_pagamento=;tipo_evento=;descricao=
id=8;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=s.Nome;forma_pagamento=;tipo_evento=;descricao=
id=9;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=s.Nome;forma_pagamento=;tipo_evento=;descricao=
id=10;status_evento=1;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=s.Nome;forma_pagamento=;tipo_evento=;descricao=
id=11;status_evento=2;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=s.Nome;forma_pagamento=;tipo_evento=;descricao=
id=12;status_evento=2;cliente_nome=Matheus;tipo_pessoa=;cliente_documento=123456789;cliente_telefone=01/11/2002 00:00:00;cliente_email=m@m.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=s.Nome;forma_pagamento=;tipo_evento=;descricao=
id=13;status_evento=2;cliente_nome=asdf;tipo_pessoa=;cliente_documento=12345678912;cliente_telefone=01/11/2002 00:00:00;cliente_email=asdf@a.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=Salão + Iluminação + Som;forma_pagamento=;tipo_evento=;descricao=
id=14;status_evento=2;cliente_nome=asdf;tipo_pessoa=;cliente_documento=12345678912;cliente_telefone=01/11/2002 00:00:00;cliente_email=asdf@a.com;data_evento=01/01/0001 00:00:00;opcao_aluguel=Salao + Som;forma_pagamento=;tipo_evento=;descricao=
